timestamp[ns],stream_id,mask
57003141596769,214-1,False
57003141683894,1201-1,False
57003141683894,1201-2,False
57003174928010,214-1,False
57003175012099,1201-1,False
57003175012099,1201-2,False
57003208259249,214-1,False
57003208340299,1201-1,False
57003208340299,1201-2,False
57003241668397,1201-1,False
57003241668397,1201-2,False
57003243344439,214-1,False
57003274895695,214-1,False
57003274996495,1201-1,False
57003274996495,1201-2,False
57003308230505,214-1,False
57003308324594,1201-1,False
57003308324594,1201-2,False
57003341561392,214-1,False
57003341652692,1201-1,False
57003341652692,1201-2,False
57003374892564,214-1,False
57003374980815,1201-1,False
57003374980815,1201-2,False
57003408213572,214-1,False
57003408308998,1201-1,False
57003408308998,1201-2,False
57003441546464,214-1,False
57003441637139,1201-1,False
57003441637139,1201-2,False
57003474871193,214-1,False
57003474965281,1201-1,False
57003474965281,1201-2,False
57003508194679,214-1,False
57003508293392,1201-1,False
57003508293392,1201-2,False
57003541527950,214-1,False
57003541621450,1201-1,False
57003541621450,1201-2,False
57003574859116,214-1,False
57003574949616,1201-1,False
57003574949616,1201-2,False
57003608218718,214-1,False
57003608309768,1201-1,False
57003608309768,1201-2,False
57003641545995,214-1,False
57003641637920,1201-1,False
57003641637920,1201-2,False
57003674876772,214-1,False
57003674966072,1201-1,False
57003674966072,1201-2,False
57003708199349,214-1,False
57003708294224,1201-1,False
57003708294224,1201-2,False
57003741530163,214-1,False
57003741622376,1201-1,False
57003741622376,1201-2,False
57003774861324,214-1,False
57003774950499,1201-1,False
57003774950499,1201-2,False
57003808197094,214-1,False
57003808310558,1201-1,False
57003808310558,1201-2,False
57003841546357,214-1,False
57003841638569,1201-1,False
57003841638569,1201-2,False
57003874874728,214-1,False
57003874966443,1201-1,False
57003874966443,1201-2,False
57003908204871,214-1,False
57003908294871,1201-1,False
57003908294871,1201-2,False
57003941526759,214-1,False
57003941622757,1201-1,False
57003941622757,1201-2,False
57003974892265,214-1,False
57003974950566,1201-1,False
57003974950566,1201-2,False
57004008215217,214-1,False
57004008311267,1201-1,False
57004008311267,1201-2,False
57004041548674,214-1,False
57004041639350,1201-1,False
57004041639350,1201-2,False
57004074869841,214-1,False
57004074967466,1201-1,False
57004074967466,1201-2,False
57004108201033,214-1,False
57004108295583,1201-1,False
57004108295583,1201-2,False
57004141528521,214-1,False
57004141623735,1201-1,False
57004141623735,1201-2,False
57004174856018,214-1,False
57004174951943,1201-1,False
57004174951943,1201-2,False
57004208183478,214-1,False
57004208280067,1201-1,False
57004208280067,1201-2,False
57004241544577,214-1,True
57004241640327,1201-1,True
57004241640327,1201-2,True
57004274871981,214-1,True
57004274968407,1201-1,True
57004274968407,1201-2,True
57004308199398,214-1,True
57004308296486,1201-1,True
57004308296486,1201-2,True
57004341526825,214-1,True
57004341624575,1201-1,True
57004341624575,1201-2,True
57004374857987,214-1,True
57004374952700,1201-1,True
57004374952700,1201-2,True
57004408190789,214-1,True
57004408280840,1201-1,True
57004408280840,1201-2,True
57004441519641,214-1,True
57004441608979,1201-1,True
57004441608979,1201-2,True
57004474827319,214-1,True
57004474937119,1201-1,True
57004474937119,1201-2,True
57004508169883,214-1,True
57004508265259,1201-1,True
57004508265259,1201-2,True
57004541545773,214-1,True
57004541641398,1201-1,True
57004541641398,1201-2,True
57004574876950,214-1,True
57004574969538,1201-1,True
57004574969538,1201-2,True
57004608206214,214-1,True
57004608297678,1201-1,True
57004608297678,1201-2,True
57004641527409,214-1,True
57004641625834,1201-1,True
57004641625834,1201-2,True
57004674863558,214-1,True
57004674954021,1201-1,True
57004674954021,1201-2,True
57004708191002,214-1,True
57004708282127,1201-1,True
57004708282127,1201-2,True
57004741551904,214-1,True
57004741642205,1201-1,True
57004741642205,1201-2,True
57004774879379,214-1,True
57004774970342,1201-1,True
57004774970342,1201-2,True
57004808206854,214-1,True
57004808298479,1201-1,True
57004808298479,1201-2,True
57004841537994,214-1,True
57004841626582,1201-1,True
57004841626582,1201-2,True
57004874865358,214-1,True
57004874954609,1201-1,True
57004874954609,1201-2,True
57004908192823,214-1,True
57004908282748,1201-1,True
57004908282748,1201-2,True
57004941553816,214-1,True
57004941642904,1201-1,True
57004941642904,1201-2,True
57004974881233,214-1,True
57004974970984,1201-1,True
57004974970984,1201-2,True
57005008208679,214-1,True
57005008299142,1201-1,True
57005008299142,1201-2,True
57005041536071,214-1,True
57005041627197,1201-1,True
57005041627197,1201-2,True
57005074863618,214-1,True
57005074955418,1201-1,True
57005074955418,1201-2,True
57005108194692,214-1,True
57005108283442,1201-1,True
57005108283442,1201-2,True
57005141563171,214-1,True
57005141643634,1201-1,True
57005141643634,1201-2,True
57005174883108,214-1,True
57005174971696,1201-1,True
57005174971696,1201-2,True
57005208205213,214-1,True
57005208299764,1201-1,True
57005208299764,1201-2,True
57005241532684,214-1,True
57005241628147,1201-1,True
57005241628147,1201-2,True
57005274865007,214-1,True
57005274956221,1201-1,True
57005274956221,1201-2,True
57005308189976,214-1,True
57005308284439,1201-1,True
57005308284439,1201-2,True
57005341554403,214-1,True
57005341612491,1201-1,True
57005341612491,1201-2,True
57005374882960,214-1,True
57005374972548,1201-1,True
57005374972548,1201-2,True
57005408206679,214-1,True
57005408300680,1201-1,True
57005408300680,1201-2,True
57005441537885,214-1,True
57005441628811,1201-1,True
57005441628811,1201-2,True
57005474865317,214-1,True
57005474956942,1201-1,True
57005474956942,1201-2,True
57005508192773,214-1,True
57005508285073,1201-1,True
57005508285073,1201-2,True
57005541520241,214-1,True
57005541613205,1201-1,True
57005541613205,1201-2,True
57005574881214,214-1,True
57005574973340,1201-1,True
57005574973340,1201-2,True
57005608208685,214-1,True
57005608301485,1201-1,True
57005608301485,1201-2,True
57005641536168,214-1,True
57005641629631,1201-1,True
57005641629631,1201-2,True
57005674863673,214-1,True
57005674957799,1201-1,True
57005674957799,1201-2,True
57005708194922,214-1,True
57005708286011,1201-1,True
57005708286011,1201-2,True
57005741522391,214-1,True
57005741614141,1201-1,True
57005741614141,1201-2,True
57005774883308,214-1,True
57005774974234,1201-1,True
57005774974234,1201-2,True
57005808210766,214-1,True
57005808302354,1201-1,True
57005808302354,1201-2,True
57005841538225,214-1,True
57005841630475,1201-1,True
57005841630475,1201-2,True
57005874865664,214-1,True
57005874958590,1201-1,True
57005874958590,1201-2,True
57005908193076,214-1,True
57005908286664,1201-1,True
57005908286664,1201-2,True
57005941520397,214-1,True
57005941614697,1201-1,True
57005941614697,1201-2,True
57005974881391,214-1,True
57005974974816,1201-1,True
57005974974816,1201-2,True
57006008208842,214-1,True
57006008302968,1201-1,True
57006008302968,1201-2,True
57006041540068,214-1,True
57006041631119,1201-1,True
57006041631119,1201-2,True
57006074867557,214-1,True
57006074959270,1201-1,True
57006074959270,1201-2,True
57006108194996,214-1,True
57006108287421,1201-1,True
57006108287421,1201-2,True
57006141522484,214-1,True
57006141615573,1201-1,True
57006141615573,1201-2,True
57006174898386,214-1,True
57006174991724,1201-1,True
57006174991724,1201-2,True
57006208225875,214-1,True
57006208319876,1201-1,True
57006208319876,1201-2,True
57006241557064,214-1,True
57006241648027,1201-1,True
57006241648027,1201-2,True
57006274884541,214-1,True
57006274976167,1201-1,True
57006274976167,1201-2,True
57006308211971,214-1,True
57006308304271,1201-1,True
57006308304271,1201-2,True
57006341539413,214-1,True
57006341632376,1201-1,True
57006341632376,1201-2,True
57006374866805,214-1,True
57006374960481,1201-1,True
57006374960481,1201-2,True
57006408194247,214-1,True
57006408288585,1201-1,True
57006408288585,1201-2,True
57006441525440,214-1,True
57006441616690,1201-1,True
57006441616690,1201-2,True
57006474852831,214-1,True
57006474944795,1201-1,True
57006474944795,1201-2,True
57006508180274,214-1,True
57006508272899,1201-1,True
57006508272899,1201-2,True
57006541541204,214-1,True
57006541633004,1201-1,True
57006541633004,1201-2,True
57006574868646,214-1,True
57006574961109,1201-1,True
57006574961109,1201-2,True
57006608196114,214-1,True
57006608289239,1201-1,True
57006608289239,1201-2,True
57006641523671,214-1,True
57006641617472,1201-1,True
57006641617472,1201-2,True
57006674888499,214-1,True
57006674945712,1201-1,True
57006674945712,1201-2,True
57006708211930,214-1,True
57006708305553,1201-1,True
57006708305553,1201-2,True
57006741538934,214-1,True
57006741633237,1201-1,True
57006741633237,1201-2,True
57006774871711,214-1,True
57006774962011,1201-1,True
57006774962011,1201-2,True
57006808194097,214-1,True
57006808290186,1201-1,True
57006808290186,1201-2,True
57006841519004,214-1,True
57006841618304,1201-1,True
57006841618304,1201-2,True
57006874853648,214-1,True
57006874946362,1201-1,True
57006874946362,1201-2,True
57006908239276,214-1,True
57006908306489,1201-1,True
57006908306489,1201-2,True
57006941541848,214-1,True
57006941634598,1201-1,True
57006941634598,1201-2,True
57006974872206,214-1,True
57006974962706,1201-1,True
57006974962706,1201-2,True
57007008195745,214-1,True
57007008290833,1201-1,True
57007008290833,1201-2,True
57007041523206,214-1,True
57007041619007,1201-1,True
57007041619007,1201-2,True
57007074850667,214-1,True
57007074947130,1201-1,True
57007074947130,1201-2,True
57007108211590,214-1,True
57007108307215,1201-1,True
57007108307215,1201-2,True
57007141541452,214-1,True
57007141635378,1201-1,True
57007141635378,1201-2,True
57007174864077,214-1,True
57007174963540,1201-1,True
57007174963540,1201-2,True
57007208197805,214-1,True
57007208291680,1201-1,True
57007208291680,1201-2,True
57007241525227,214-1,True
57007241619778,1201-1,True
57007241619778,1201-2,True
57007274856445,214-1,True
57007274947946,1201-1,True
57007274947946,1201-2,True
57007308213696,214-1,True
57007308308071,1201-1,True
57007308308071,1201-2,True
57007341544868,214-1,True
57007341636207,1201-1,True
57007341636207,1201-2,True
57007374872342,214-1,True
57007374964342,1201-1,True
57007374964342,1201-2,True
57007408197052,214-1,True
57007408292477,1201-1,True
57007408292477,1201-2,True
57007441528237,214-1,True
57007441620613,1201-1,True
57007441620613,1201-2,True
57007474858248,214-1,True
57007474948748,1201-1,True
57007474948748,1201-2,True
57007508185708,214-1,True
57007508276884,1201-1,True
57007508276884,1201-2,True
57007541471468,214-1,True
57007541637019,1201-1,True
57007541637019,1201-2,True
57007574871279,214-1,True
57007574965155,1201-1,True
57007574965155,1201-2,True
57007608196577,214-1,True
57007608293290,1201-1,True
57007608293290,1201-2,True
57007641528425,214-1,True
57007641621425,1201-1,True
57007641621425,1201-2,True
57007674852560,214-1,True
57007674949561,1201-1,True
57007674949561,1201-2,True
57007708220245,214-1,True
57007708309708,1201-1,True
57007708309708,1201-2,True
57007741541921,214-1,True
57007741637885,1201-1,True
57007741637885,1201-2,True
57007774877193,214-1,True
57007774965993,1201-1,True
57007774965993,1201-2,True
57007808199697,214-1,True
57007808294036,1201-1,True
57007808294036,1201-2,True
57007841503763,214-1,True
57007841622263,1201-1,True
57007841622263,1201-2,True
57007874854855,214-1,True
57007874950318,1201-1,True
57007874950318,1201-2,True
57007908212508,214-1,True
57007908310433,1201-1,True
57007908310433,1201-2,True
57007941543523,214-1,True
57007941638398,1201-1,True
57007941638398,1201-2,True
57007974870888,214-1,True
57007974966440,1201-1,True
57007974966440,1201-2,True
57008008198582,214-1,True
57008008294795,1201-1,True
57008008294795,1201-2,True
57008041525997,214-1,True
57008041622872,1201-1,True
57008041622872,1201-2,True
57008074853417,214-1,True
57008074950967,1201-1,True
57008074950967,1201-2,True
57008108218154,214-1,True
57008108279155,1201-1,True
57008108279155,1201-2,True
57008141548462,214-1,True
57008141639048,1201-1,True
57008141639048,1201-2,True
57008174869024,214-1,True
57008174966576,1201-1,True
57008174966576,1201-2,True
57008208201516,214-1,True
57008208295068,1201-1,True
57008208295068,1201-2,True
57008241554970,214-1,True
57008241655560,1201-1,True
57008241655560,1201-2,True
57008274888583,214-1,True
57008274983959,1201-1,True
57008274983959,1201-2,True
57008308213213,214-1,True
57008308312051,1201-1,True
57008308312051,1201-2,True
57008341541544,214-1,True
57008341640094,1201-1,True
57008341640094,1201-2,True
57008374872529,214-1,True
57008374968243,1201-1,True
57008374968243,1201-2,True
57008408197266,214-1,True
57008408296391,1201-1,True
57008408296391,1201-2,True
57008441529614,214-1,True
57008441624539,1201-1,True
57008441624539,1201-2,True
57008474860599,214-1,True
57008474952688,1201-1,True
57008474952688,1201-2,True
57008508185335,214-1,True
57008508280836,1201-1,True
57008508280836,1201-2,True
57008541547484,214-1,True
57008541640984,1201-1,True
57008541640984,1201-2,True
57008574872207,214-1,True
57008574969133,1201-1,True
57008574969133,1201-2,True
57008608202030,214-1,True
57008608297281,1201-1,True
57008608297281,1201-2,True
57008641529504,214-1,True
57008641625429,1201-1,True
57008641625429,1201-2,True
57008674859339,214-1,True
57008674953589,1201-1,True
57008674953589,1201-2,True
57008708186799,214-1,True
57008708281724,1201-1,True
57008708281724,1201-2,True
57008741547622,214-1,True
57008741641711,1201-1,True
57008741641711,1201-2,True
57008774875073,214-1,True
57008774969823,1201-1,True
57008774969823,1201-2,True
57008808206223,214-1,True
57008808297936,1201-1,True
57008808297936,1201-2,True
57008841533678,214-1,True
57008841626054,1201-1,True
57008841626054,1201-2,True
57008874864636,214-1,True
57008874954187,1201-1,True
57008874954187,1201-2,True
57008908192119,214-1,True
57008908282333,1201-1,True
57008908282333,1201-2,True
57008941553119,214-1,True
57008941642494,1201-1,True
57008941642494,1201-2,True
57008974880540,214-1,True
57008974970590,1201-1,True
57008974970590,1201-2,True
57009008207972,214-1,True
57009008298686,1201-1,True
57009008298686,1201-2,True
57009041535446,214-1,True
57009041626822,1201-1,True
57009041626822,1201-2,True
57009074866674,214-1,True
57009074955012,1201-1,True
57009074955012,1201-2,True
57009108194023,214-1,True
57009108283023,1201-1,True
57009108283023,1201-2,True
57009141550306,214-1,True
57009141643182,1201-1,True
57009141643182,1201-2,True
57009174876992,214-1,True
57009174971493,1201-1,True
57009174971493,1201-2,True
57009208206091,214-1,True
57009208299680,1201-1,True
57009208299680,1201-2,True
57009241535309,214-1,True
57009241627772,1201-1,True
57009241627772,1201-2,True
57009274854274,214-1,True
57009274955824,1201-1,True
57009274955824,1201-2,True
57009308191971,214-1,True
57009308283971,1201-1,True
57009308283971,1201-2,True
57009341552138,214-1,True
57009341612013,1201-1,True
