object_uid,timestamp[ns],t_wo_x[m],t_wo_y[m],t_wo_z[m],q_wo_w,q_wo_x,q_wo_y,q_wo_z
37787722328019,57003141596769,-0.19140858523138127,-0.1706616299020418,-0.4185603102371568,0.3178545359167072,0.35249505388856106,0.6563032510978731,0.5864995938443925
163340972252026,57003141596769,-0.3879693301239393,-0.3878395606252182,-0.43137160276326714,0.6833557755715326,0.6740924567399983,-0.19717239626995278,-0.19936722375663352
117658302265452,57003141596769,-0.20920806568094585,-0.40140825334543795,-0.4282135108756766,0.5459410760689443,0.5326679998467803,0.4527776657236255,0.46174184218216446
232501673989606,57003141596769,-0.4436647390742585,0.027776366287901588,-0.4309508903020032,0.6939837523833886,0.7121036428434738,-0.08267078194542017,-0.0667869380152933
111305855142671,57003141596769,-0.4507128865037976,-0.16648724374906726,-0.3991552881214546,0.7290757357867588,0.5989586291076741,0.21658413679731045,0.25057622351734804
265826671143948,57003141596769,-0.31208897449552775,0.09279889990507761,-0.412065929342348,0.3592910884660633,0.32044009754839103,0.6372576947289637,0.6017729539791367
37787722328019,57003141683894,-0.1914083558186881,-0.1706616762414752,-0.41856048456574557,0.3178530753053699,0.352495779586741,0.6563038899383746,0.5864992343935433
163340972252026,57003141683894,-0.3879689623760062,-0.3878394393963611,-0.4313715898336561,0.6833556187507587,0.6740930993981261,-0.1971718398722494,-0.19936613861683672
117658302265452,57003141683894,-0.20920795904529266,-0.4014082785870652,-0.4282136281312602,0.545940937742828,0.5326680636967962,0.45277771075215995,0.4617418879201031
232501673989606,57003141683894,-0.443664399759084,0.027775801240573106,-0.43095077821936045,0.6939855350813119,0.7121020682111583,-0.08267064196836416,-0.0667853764220476
111305855142671,57003141683894,-0.4507117712192483,-0.16648713179703162,-0.3991550175476014,0.7290748381590904,0.5989583555056647,0.21658786613580777,0.2505762657874515
265826671143948,57003141683894,-0.3120882329893669,0.09279870157133974,-0.4120657368491303,0.3592932601491196,0.3204432727590617,0.6372523320857072,0.6017756454079927
37787722328019,57003174928010,-0.19141287819272856,-0.17066212110576895,-0.41862950784089936,0.3181648076388811,0.3523999085013009,0.6558231870025927,0.5869253845746927
163340972252026,57003174928010,-0.38795174804418875,-0.38770430576090253,-0.431335948233335,0.6833932632443563,0.6743823677603635,-0.19668320772139308,-0.19874049815419878
117658302265452,57003174928010,-0.20922878421107638,-0.40132791278338253,-0.42820604773880544,0.5459033266127026,0.5325122616699605,0.45294235706382885,0.46180458025207116
232501673989606,57003174928010,-0.4437069057676759,0.0279013758649026,-0.4309754649249068,0.6937249443444328,0.7123632158489337,-0.08253269213134688,-0.0668782851845914
111305855142671,57003174928010,-0.45065858785208035,-0.1663940888148831,-0.3991458823362952,0.7290620527534064,0.598828658059336,0.2170477472798759,0.2505255214994575
265826671143948,57003174928010,-0.3120504909747278,0.09284030191449755,-0.41206895357680406,0.35966693354365237,0.3205343957390258,0.6369385697911688,0.6018360710159405
37787722328019,57003175012099,-0.19141277355339426,-0.1706626046715276,-0.41863029424222575,0.31816708738281074,0.352399261314259,0.655817697860429,0.5869306707819507
163340972252026,57003175012099,-0.38795221378665623,-0.38770345295976627,-0.43133605544413545,0.683391357790164,0.67438456731657,-0.19668272972176484,-0.19874005960589328
117658302265452,57003175012099,-0.20922901407212258,-0.40132754931644865,-0.42820604339795076,0.5459032061733085,0.5325111152237307,0.4529433847907857,0.461805036597856
232501673989606,57003175012099,-0.4437070384639349,0.02790169528093711,-0.430975578616282,0.6937246898333247,0.7123635646977258,-0.08253250498140954,-0.0668774403539805
111305855142671,57003175012099,-0.4506588851076876,-0.1663936510871712,-0.39914599693312136,0.7290622627112834,0.5988283628598642,0.21704802051636377,0.25052537938262176
