stream_id,object_uid,timestamp[ns],x_min[pixel],x_max[pixel],y_min[pixel],y_max[pixel],visibility_ratio[%]
1201-1,111305855142671,57003141683894,328.0,385.0,-9.0,66.0,0.8279483037156704
1201-1,117658302265452,57003141683894,339.0,396.0,185.0,242.0,1.0
1201-1,163340972252026,57003141683894,278.0,358.0,119.0,179.0,1.0
1201-1,232501673989606,57003141683894,,,,,0.0
1201-1,265826671143948,57003141683894,,,,,0.0
1201-1,37787722328019,57003141683894,415.0,502.0,-4.0,258.0,0.9940185739020935
1201-1,111305855142671,57003175012099,328.0,385.0,-9.0,66.0,0.9297820823244553
1201-1,117658302265452,57003175012099,339.0,396.0,185.0,242.0,1.0
1201-1,163340972252026,57003175012099,278.0,358.0,119.0,179.0,1.0
1201-1,232501673989606,57003175012099,,,,,0.0
1201-1,265826671143948,57003175012099,,,,,0.0
1201-1,37787722328019,57003175012099,415.0,502.0,-4.0,258.0,0.9940154338810436
1201-1,111305855142671,57003208340299,328.0,385.0,-9.0,66.0,0.9718649517684887
1201-1,117658302265452,57003208340299,339.0,396.0,185.0,241.0,1.0
1201-1,163340972252026,57003208340299,278.0,358.0,119.0,179.0,1.0
1201-1,232501673989606,57003208340299,,,,,0.0
1201-1,265826671143948,57003208340299,,,,,0.0
1201-1,37787722328019,57003208340299,415.0,502.0,-4.0,258.0,0.9936997952433454
1201-1,111305855142671,57003241668397,328.0,385.0,-9.0,66.0,0.9710610932475884
1201-1,117658302265452,57003241668397,339.0,396.0,185.0,241.0,1.0
1201-1,163340972252026,57003241668397,278.0,358.0,119.0,179.0,1.0
1201-1,232501673989606,57003241668397,,,,,0.0
1201-1,265826671143948,57003241668397,,,,,0.0
1201-1,37787722328019,57003241668397,415.0,503.0,-4.0,258.0,0.9937189217482334
1201-1,111305855142671,57003274996495,328.0,385.0,-9.0,66.0,0.9710378117457763
1201-1,117658302265452,57003274996495,339.0,396.0,185.0,242.0,1.0
1201-1,163340972252026,57003274996495,278.0,358.0,119.0,179.0,1.0
1201-1,232501673989606,57003274996495,,,,,0.0
1201-1,265826671143948,57003274996495,,,,,0.0
